trainer	loss	sampler	filterer	num_negs_per_pos	time	frequency
slcwa	softplus	basic	none	10	0.003797865999999317	789.9172851281587
slcwa	softplus	basic	none	10	0.0037485929999974132	800.3002726628551
slcwa	softplus	basic	none	10	0.0038114919999969743	787.0933482222661
slcwa	softplus	basic	none	10	0.0037963810000007925	790.2262707561158
slcwa	softplus	basic	none	10	0.003755224999991924	798.8868842762955
slcwa	softplus	basic	none	10	0.0037907789999991337	791.3940643864191
slcwa	softplus	basic	none	10	0.0038514609999964478	778.9251922848931
slcwa	softplus	basic	none	10	0.0038032859999930224	788.7915870658961
slcwa	softplus	basic	none	10	0.0037876469999957862	792.0484670306756
slcwa	softplus	basic	none	10	0.0037982479999953966	789.8378410266091
slcwa	softplus	basic	none	10	0.003791887000005545	791.1628168232896
